engagement,followers,following,total_likes,author_name,privateAccount,verified,total_videos,day_posted,time_posted,video_likes,video_comments,video_plays,video_duration,shareCount,isMuted,isPinned,isSlideshow,music_name,original_sound,hashtags_used
174,8000000,69,340300000,samuelgrubbs,False,True,161,saturday,23.27,0,202200,0,14,435000,False,False,False,M to the B,False,9
2325,279300,62,17900000,thecuteeli,False,False,45,wednesday,10.04,0,71400,0,5,1600000,False,False,False,原聲,True,2
2963,2000000,53,98300000,_vip.ai_,False,False,77,friday,17.01,0,87200,0,18,1800000,False,False,False,original sound,True,20
2451,380200,32,19500000,activesufi,False,False,5,friday,10.51,0,49400,0,8,70600,False,False,False,Say It Right - Sped Up Remix,False,4
51000,7000000,496,229900000,chinpals,False,False,1088,tuesday,16.22,0,105500,0,5,351400,False,False,False,оригинальный звук,True,6
99500,290400,9866,23100000,justdom76,False,False,759,friday,19.57,0,82100,0,6,539200,False,False,False,original sound,True,7
226,12300000,50,274300000,davidbeck,False,True,1379,friday,3.10,0,110400,0,11,230800,False,False,False,original sound,True,13
9981,3400000,2036,43600000,k9arlo,False,False,541,tuesday,0.02,0,189000,0,53,405600,False,False,False,Fight Song,False,6
11300,9600000,206,700500000,gnb.official,False,False,2391,sunday,19.00,0,65000,0,59,303600,False,False,False,Got who pregnant,True,8
630,912200,21,29300000,adore_hanya,False,False,55,thursday,21.20,0,245100,0,10,545200,False,False,False,Edge,False,7
34300,534200,13,49900000,xjolen,False,False,822,friday,18.20,0,74800,0,16,1800000,False,False,False,original sound,True,9
36,2600000,15,72000000,littlepanda6487,False,False,2348,sunday,9.27,0,112600,0,23,1000000,False,False,False,original sound,True,6
1868,303000,44,13100000,just.emilym,False,False,86,monday,19.46,0,240800,0,9,759600,False,False,False,Originalton,True,4
6338,5900000,940,112300000,arroncrascall,False,True,257,saturday,21.37,28200000,415600,235100000,51,2700000,False,False,False,original sound,True,2
51400,4200000,738,110300000,kisonkee,False,True,402,wednesday,21.59,28000000,306700,331600000,8,2100000,False,False,False,original sound,True,3
5619,5700000,74,75500000,kelly_bove,False,False,361,thursday,0.39,27200000,308500,206400000,13,997800,True,False,False,Love Story,False,3
3431,2300000,85,62800000,arielctyson,False,False,489,monday,23.56,27100000,284900,238900000,17,749700,False,False,False,Touch Down 2 Cause Hell,False,11
73,8600000,117,121700000,collinskey,False,True,31,friday,19.32,26600000,66300,179400000,18,154100,False,False,False,original sound,True,3
0,7500000,18,525800000,juleko_o,False,False,63,tuesday,13.02,26500000,125300,145500000,7,1100000,False,False,False,original sound - Aeva,True,2
4260,582100,285,37700000,oleki_vfx,False,False,32,monday,16.54,26400000,94100,137400000,10,1100000,False,False,False,original sound,True,2
4075,2500000,258,28100000,emma.cxmpbell,False,False,68,sunday,22.35,24800000,292200,298700000,13,890100,False,False,False,Such a Whore (Baddest Remix),False,6
31900,1700000,378,65200000,itsniane,False,False,135,monday,18.47,24700000,240500,139700000,12,449200,False,False,False,Sarah Paulson crying in a British accent,True,3
16,11300000,0,144200000,maytree_music,False,True,158,friday,11.54,24700000,223700,238900000,31,334800,False,False,False,오리지널 사운드 - Maytree 메이트리,True,7
16,11300000,0,144200000,maytree_music,False,True,158,wednesday,13.18,24100000,137200,245400000,23,198400,True,False,False,오리지널 사운드 - Maytree 메이트리,True,8
3665,3800000,12,57500000,jarnoth.com,False,False,329,friday,12.39,23100000,588200,212300000,14,587300,False,False,False,Breath,True,6
45,6100000,4,82400000,themysteriouschef,False,False,180,saturday,19.40,19400000,364700,258000000,60,464000,False,False,False,original sound,True,4
14500,240000,40,19000000,francis.tpwk,False,False,954,monday,1.47,18300000,104800,100500000,111,256400,True,False,False,Can't Help Falling In Love,False,22
22300,290800,57,21200000,carolalt_,False,False,301,friday,17.01,17800000,169600,118400000,7,308200,False,False,False,What You Won't Do for Love,False,3
8667,39700000,225,678500000,noelgoescrazy,False,True,1760,sunday,17.10,17700000,72800,376600000,15,221600,True,False,False,Calm Down,False,3
